FEMALE,NONWHITE,UNION,EDUC,AGE,EXPER,WAGE,LNWAGE
1,0,0,16,46,24,7,1.9459101491
1,0,0,12,54,36,13.5,2.6026896854
1,0,0,20,42,16,15.35,2.731115474
0,0,0,12,39,21,23.125,3.1409142834
0,0,0,18,54,30,12,2.4849066498
1,0,0,12,35,17,7.7,2.0412203289
1,0,1,14,36,16,16.46,2.8009331952
1,0,0,12,37,19,7.07,1.9558604799
0,0,0,12,52,34,6.0428571429,1.798876937
0,0,0,16,56,34,14.9,2.701361213
1,0,0,12,52,34,10.73,2.3730435566
0,0,0,12,44,26,9.66,2.2679936482
1,0,1,12,45,27,7,1.9459101491
1,0,0,12,24,6,8.34,2.1210632164
0,0,1,18,38,14,12.5,2.5257286443
0,0,1,7,59,46,11.66,2.4561641809
1,0,0,11,24,7,8.3333333333,2.1202635362
1,0,0,16,34,12,16.5,2.8033603809
1,0,1,18,48,24,13.46,2.5997223242
0,0,1,9,44,29,9.2,2.2192034841
1,0,0,16,42,20,7,1.9459101491
1,0,0,16,44,22,17.088888889,2.8384284797
1,0,0,16,41,19,22.125,3.0967081909
0,0,0,12,32,14,11.428571429,2.4361164856
1,0,0,12,30,12,12,2.4849066498
1,0,0,16,57,35,3.5714285714,1.2729656758
0,0,0,12,42,24,14.4,2.6672282066
0,0,0,16,37,15,13.825,2.6264785474
0,0,1,16,24,2,8.5,2.1400661635
1,0,0,12,60,42,16.1,2.778819272
1,0,0,18,58,34,5,1.6094379124
1,0,0,12,47,29,5.5,1.7047480922
0,0,0,12,20,2,8.25,2.1102132003
1,0,0,16,35,13,26.525,3.2780876845
1,0,0,12,38,20,14.222222222,2.6548056866
0,0,0,10,18,2,4.65,1.5368672196
1,1,0,12,25,7,8,2.0794415417
0,0,0,11,37,20,14.8,2.6946271808
1,0,0,16,22,0,3.85,1.3480731483
0,0,0,1,63,56,10.42,2.3437270363
1,1,0,14,25,5,7.5,2.0149030205
1,0,1,1,49,42,11,2.3978952728
1,0,1,12,61,43,10.62,2.3627390158
0,0,0,12,34,16,9,2.1972245773
1,0,0,16,47,25,16.25,2.7880929088
1,0,1,18,45,21,23.8,3.1696855807
0,0,0,7,34,21,8,2.0794415417
1,0,0,16,45,23,15,2.7080502011
1,0,0,11,18,1,4,1.3862943611
1,0,0,12,27,9,8.65,2.1575593209
1,0,0,12,52,34,9,2.1972245773
1,0,0,12,44,26,15.375,2.7327428137
0,0,0,18,32,8,22.6,3.1179499063
1,0,0,12,46,28,18.75,2.9311937524
1,0,0,12,39,21,28.85,3.362109993
0,0,0,16,53,31,13.46,2.5997223242
0,0,0,12,45,27,20,2.9957322736
0,0,0,14,63,43,5.5,1.7047480922
0,0,0,18,50,26,11.54,2.4458192611
0,1,0,16,33,11,20.466666667,3.0187975465
0,0,0,14,41,21,33.65,3.5160130561
0,0,1,14,46,26,18,2.8903717579
0,0,0,18,38,14,34.625,3.5445759645
0,0,1,12,35,17,6,1.7917594692
0,0,0,12,36,18,9.5,2.2512917986
0,0,0,16,34,12,24.05,3.1801349966
0,1,0,12,29,11,5,1.6094379124
0,0,1,12,46,28,23,3.1354942159
0,0,0,16,25,3,14.4,2.6672282066
0,0,0,16,60,38,48.075,3.8727622915
1,0,0,12,34,16,12.44,2.5209170873
1,0,0,16,31,9,25,3.2188758249
0,0,0,16,29,7,14.425,2.6689628124
1,0,1,16,26,4,20.19,3.0051874323
0,1,0,16,24,2,10,2.302585093
1,0,0,14,29,9,2.25,0.8109302162
1,0,0,16,26,4,21.355555556,3.0613119192
1,0,0,14,39,19,23.075,3.1387497804
1,0,0,12,58,40,13,2.5649493575
0,0,0,18,37,13,22,3.0910424534
1,0,0,18,58,34,19.94,2.9927277645
1,0,0,16,47,25,7.5,2.0149030205
1,0,0,14,43,23,8,2.0794415417
1,1,0,12,42,24,6,1.7917594692
1,0,0,10,32,16,8.25,2.1102132003
1,0,1,16,34,12,13.225,2.5821089777
1,0,0,12,36,18,4.35,1.4701758451
1,1,1,12,41,23,12,2.4849066498
1,0,1,11,57,40,11.25,2.4203681287
0,0,0,16,49,27,15,2.7080502011
0,0,0,16,43,21,32.05,3.4672971834
0,0,0,12,34,16,9.45,2.2460147415
1,0,0,12,34,16,6.5,1.8718021769
1,0,0,16,24,2,3,1.0986122887
1,0,0,12,24,6,10,2.302585093
1,0,0,12,45,27,9,2.1972245773
0,0,0,12,37,19,15,2.7080502011
0,0,0,12,41,23,13.953488372,2.6357295395
0,0,0,14,40,20,11,2.3978952728
0,0,1,12,38,20,15.72,2.754933787
0,0,0,12,32,14,7.74,2.0464016876
1,0,1,16,41,19,9.24,2.2235418857
0,0,0,12,44,26,20,2.9957322736
1,0,0,12,43,25,2.3,0.8329091229
1,0,0,16,35,13,16,2.7725887222
0,1,0,12,27,9,6.0357142857,1.7976942047
1,1,0,20,29,3,14.33,2.6623552418
1,0,0,20,34,8,20,2.9957322736
0,0,0,12,35,17,10,2.302585093
1,0,0,12,44,26,11.35,2.4292177439
1,0,0,11,50,33,9,2.1972245773
0,0,0,16,50,28,7.4,2.0014800002
0,0,0,12,18,0,6,1.7917594692
0,0,0,14,39,19,16.222222222,2.7863820444
1,0,0,18,45,21,20.511111111,3.0209667447
0,0,0,16,56,34,28.825,3.3612430662
0,0,0,12,61,43,13.75,2.6210388241
0,0,0,18,54,30,30.775,3.4267026721
0,0,0,12,63,45,15.38,2.7330679641
1,0,0,16,48,26,22.1,3.0955776085
1,0,1,12,42,24,9,2.1972245773
0,0,0,12,20,2,9,2.1972245773
0,0,1,20,49,23,34.228571429,3.5330607172
1,0,0,14,27,7,10.575,2.3584927249
0,0,0,10,58,42,13,2.5649493575
1,0,0,12,21,3,4,1.3862943611
0,0,0,12,19,1,6,1.7917594692
0,0,0,16,43,21,16.25,2.7880929088
0,0,0,18,55,31,10.625,2.3632097148
0,0,0,16,34,12,18.45,2.9150643705
0,0,0,7,63,50,4.25,1.4469189829
0,0,0,18,54,30,10.79,2.3786197793
0,1,0,12,29,11,3.075,1.1233049013
0,0,0,12,50,32,21.14,3.0511669804
0,0,1,12,27,9,10.5,2.3513752572
0,0,0,18,29,5,11.92,2.4782176616
0,0,0,18,60,36,5.5,1.7047480922
1,0,0,14,22,2,8,2.0794415417
1,0,0,12,33,15,8.75,2.1690537004
0,0,1,18,47,23,24,3.1780538303
0,0,1,12,42,24,22.63,3.1192764596
0,0,0,12,28,10,10,2.302585093
1,1,0,12,45,27,6.725,1.9058319255
0,1,0,12,21,3,6.25,1.8325814637
0,0,1,12,47,29,14,2.6390573296
1,0,0,12,44,26,4.5,1.5040773968
1,1,1,16,45,23,13,2.5649493575
1,0,0,12,58,40,14.425,2.6689628124
0,0,0,20,42,16,37.5,3.624340933
1,0,0,12,47,29,9.75,2.277267285
0,1,1,12,47,29,27.5,3.3141860047
1,1,1,16,24,2,12.15,2.4973291698
0,0,1,12,41,23,31.5,3.4499875458
0,0,1,12,51,33,18,2.8903717579
1,0,0,16,34,12,30,3.4011973817
